filepath,style index,style name
/media/andrea/New Volume/train/train/41682.jpg,0,Impressionism
/media/andrea/New Volume/train/train/45753.jpg,1,Cubism
/media/andrea/New Volume/train/train/37256.jpg,0,Impressionism
/media/andrea/New Volume/train/train/54668.jpg,0,Impressionism
/media/andrea/New Volume/train/train/94592.jpg,2,Realism
/media/andrea/New Volume/train/train/67798.jpg,2,Realism
/media/andrea/New Volume/train/train/102940.jpg,2,Realism
/media/andrea/New Volume/train/train/18398.jpg,2,Realism
/media/andrea/New Volume/train/train/28179.jpg,2,Realism
/media/andrea/New Volume/train/train/19464.jpg,0,Impressionism
/media/andrea/New Volume/train/train/3016.jpg,0,Impressionism
/media/andrea/New Volume/train/train/78766.jpg,2,Realism
/media/andrea/New Volume/train/train/86166.jpg,1,Cubism
/media/andrea/New Volume/train/train/62530.jpg,2,Realism
/media/andrea/New Volume/train/train/41945.jpg,1,Cubism
/media/andrea/New Volume/train/train/56641.jpg,0,Impressionism
/media/andrea/New Volume/train/train/64311.jpg,2,Realism
/media/andrea/New Volume/train/train/3632.jpg,0,Impressionism
/media/andrea/New Volume/train/train/52850.jpg,0,Impressionism
/media/andrea/New Volume/train/train/90288.jpg,2,Realism
/media/andrea/New Volume/train/train/38869.jpg,2,Realism
/media/andrea/New Volume/train/train/90385.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/36350.jpg,0,Impressionism
/media/andrea/New Volume/train/train/97356.jpg,0,Impressionism
/media/andrea/New Volume/train/train/94550.jpg,2,Realism
/media/andrea/New Volume/train/train/9125.jpg,2,Realism
/media/andrea/New Volume/train/train/92192.jpg,0,Impressionism
/media/andrea/New Volume/train/train/92742.jpg,2,Realism
/media/andrea/New Volume/train/train/41435.jpg,2,Realism
/media/andrea/New Volume/train/train/19749.jpg,2,Realism
/media/andrea/New Volume/train/train/98622.jpg,0,Impressionism
/media/andrea/New Volume/train/train/45137.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/1534.jpg,2,Realism
/media/andrea/New Volume/train/train/40152.jpg,2,Realism
/media/andrea/New Volume/train/train/88038.jpg,2,Realism
/media/andrea/New Volume/train/train/46324.jpg,0,Impressionism
/media/andrea/New Volume/train/train/2313.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/43988.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/28197.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/2807.jpg,2,Realism
/media/andrea/New Volume/train/train/72920.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/31283.jpg,2,Realism
/media/andrea/New Volume/train/train/55651.jpg,2,Realism
/media/andrea/New Volume/train/train/58752.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/79344.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/101947.jpg,1,Cubism
/media/andrea/New Volume/train/train/101178.jpg,2,Realism
/media/andrea/New Volume/train/train/102518.jpg,2,Realism
/media/andrea/New Volume/train/train/74814.jpg,2,Realism
/media/andrea/New Volume/train/train/14128.jpg,2,Realism
/media/andrea/New Volume/train/train/75659.jpg,2,Realism
/media/andrea/New Volume/train/train/1623.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/95517.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/14749.jpg,2,Realism
/media/andrea/New Volume/train/train/50325.jpg,2,Realism
/media/andrea/New Volume/train/train/3238.jpg,2,Realism
/media/andrea/New Volume/train/train/9442.jpg,3,Pop Art
/media/andrea/New Volume/train/train/95254.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/52023.jpg,0,Impressionism
/media/andrea/New Volume/train/train/54112.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/71531.jpg,2,Realism
/media/andrea/New Volume/train/train/39817.jpg,2,Realism
/media/andrea/New Volume/train/train/85520.jpg,2,Realism
/media/andrea/New Volume/train/train/22787.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/6812.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/21276.jpg,0,Impressionism
/media/andrea/New Volume/train/train/91399.jpg,3,Pop Art
/media/andrea/New Volume/train/train/5429.jpg,2,Realism
/media/andrea/New Volume/train/train/85031.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/66707.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/55963.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/39498.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/48925.jpg,0,Impressionism
/media/andrea/New Volume/train/train/40246.jpg,2,Realism
/media/andrea/New Volume/train/train/59451.jpg,2,Realism
/media/andrea/New Volume/train/train/17485.jpg,2,Realism
/media/andrea/New Volume/train/train/82619.jpg,2,Realism
/media/andrea/New Volume/train/train/73331.jpg,2,Realism
/media/andrea/New Volume/train/train/57955.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/32200.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/62024.jpg,2,Realism
/media/andrea/New Volume/train/train/99133.jpg,0,Impressionism
/media/andrea/New Volume/train/train/52238.jpg,0,Impressionism
/media/andrea/New Volume/train/train/30586.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/1695.jpg,1,Cubism
/media/andrea/New Volume/train/train/28824.jpg,0,Impressionism
/media/andrea/New Volume/train/train/43585.jpg,1,Cubism
/media/andrea/New Volume/train/train/90572.jpg,0,Impressionism
/media/andrea/New Volume/train/train/76860.jpg,2,Realism
/media/andrea/New Volume/train/train/9911.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/80463.jpg,0,Impressionism
/media/andrea/New Volume/train/train/94107.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/26042.jpg,0,Impressionism
/media/andrea/New Volume/train/train/67243.jpg,1,Cubism
/media/andrea/New Volume/train/train/20090.jpg,0,Impressionism
/media/andrea/New Volume/train/train/100236.jpg,0,Impressionism
/media/andrea/New Volume/train/train/70276.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/16692.jpg,0,Impressionism
/media/andrea/New Volume/train/train/51574.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/33374.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/2764.jpg,2,Realism
/media/andrea/New Volume/train/train/102678.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/86549.jpg,0,Impressionism
/media/andrea/New Volume/train/train/82494.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/90907.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/20440.jpg,0,Impressionism
/media/andrea/New Volume/train/train/92970.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/3169.jpg,1,Cubism
/media/andrea/New Volume/train/train/27768.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/2009.jpg,2,Realism
/media/andrea/New Volume/train/train/42746.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/65355.jpg,2,Realism
/media/andrea/New Volume/train/train/55888.jpg,2,Realism
/media/andrea/New Volume/train/train/8521.jpg,0,Impressionism
/media/andrea/New Volume/train/train/63776.jpg,0,Impressionism
/media/andrea/New Volume/train/train/98645.jpg,0,Impressionism
/media/andrea/New Volume/train/train/16139.jpg,0,Impressionism
/media/andrea/New Volume/train/train/40595.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/91127.jpg,0,Impressionism
/media/andrea/New Volume/train/train/62534.jpg,0,Impressionism
/media/andrea/New Volume/train/train/23268.jpg,2,Realism
/media/andrea/New Volume/train/train/41649.jpg,0,Impressionism
/media/andrea/New Volume/train/train/90295.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/60863.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/97328.jpg,1,Cubism
/media/andrea/New Volume/train/train/56994.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/14326.jpg,2,Realism
/media/andrea/New Volume/train/train/98230.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/97894.jpg,2,Realism
/media/andrea/New Volume/train/train/91655.jpg,0,Impressionism
/media/andrea/New Volume/train/train/58658.jpg,0,Impressionism
/media/andrea/New Volume/train/train/91919.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/5711.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/14705.jpg,0,Impressionism
/media/andrea/New Volume/train/train/22521.jpg,2,Realism
/media/andrea/New Volume/train/train/61167.jpg,0,Impressionism
/media/andrea/New Volume/train/train/7566.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/73799.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/40394.jpg,3,Pop Art
/media/andrea/New Volume/train/train/77076.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/56513.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/14174.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/94777.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/14784.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/25493.jpg,0,Impressionism
/media/andrea/New Volume/train/train/49528.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/55807.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/94565.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/4429.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/11233.jpg,0,Impressionism
/media/andrea/New Volume/train/train/26759.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/59845.jpg,0,Impressionism
/media/andrea/New Volume/train/train/48334.jpg,2,Realism
/media/andrea/New Volume/train/train/39872.jpg,2,Realism
/media/andrea/New Volume/train/train/7467.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/32817.jpg,2,Realism
/media/andrea/New Volume/train/train/86143.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/33311.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/49805.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/25404.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/62274.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/73444.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/21287.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/53267.jpg,2,Realism
/media/andrea/New Volume/train/train/51232.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/4899.jpg,2,Realism
/media/andrea/New Volume/train/train/74226.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/72602.jpg,0,Impressionism
/media/andrea/New Volume/train/train/87963.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/64398.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/24248.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/89219.jpg,2,Realism
/media/andrea/New Volume/train/train/60631.jpg,2,Realism
/media/andrea/New Volume/train/train/5425.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/43439.jpg,2,Realism
/media/andrea/New Volume/train/train/21759.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/33800.jpg,0,Impressionism
/media/andrea/New Volume/train/train/46083.jpg,0,Impressionism
/media/andrea/New Volume/train/train/71608.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/46347.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/75455.jpg,0,Impressionism
/media/andrea/New Volume/train/train/62073.jpg,2,Realism
/media/andrea/New Volume/train/train/15562.jpg,0,Impressionism
/media/andrea/New Volume/train/train/91548.jpg,0,Impressionism
/media/andrea/New Volume/train/train/68105.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/957.jpg,2,Realism
/media/andrea/New Volume/train/train/72739.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/100283.jpg,0,Impressionism
/media/andrea/New Volume/train/train/100152.jpg,0,Impressionism
/media/andrea/New Volume/train/train/37160.jpg,0,Impressionism
/media/andrea/New Volume/train/train/88516.jpg,2,Realism
/media/andrea/New Volume/train/train/93521.jpg,0,Impressionism
/media/andrea/New Volume/train/train/78280.jpg,0,Impressionism
/media/andrea/New Volume/train/train/7275.jpg,2,Realism
/media/andrea/New Volume/train/train/100541.jpg,2,Realism
/media/andrea/New Volume/train/train/97994.jpg,2,Realism
/media/andrea/New Volume/train/train/67895.jpg,2,Realism
/media/andrea/New Volume/train/train/11296.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/11295.jpg,0,Impressionism
/media/andrea/New Volume/train/train/63492.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/25730.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/7614.jpg,0,Impressionism
/media/andrea/New Volume/train/train/65691.jpg,2,Realism
/media/andrea/New Volume/train/train/56418.jpg,0,Impressionism
/media/andrea/New Volume/train/train/84017.jpg,0,Impressionism
/media/andrea/New Volume/train/train/91491.jpg,2,Realism
/media/andrea/New Volume/train/train/44022.jpg,0,Impressionism
/media/andrea/New Volume/train/train/48088.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/64314.jpg,2,Realism
/media/andrea/New Volume/train/train/53847.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/37145.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/49352.jpg,1,Cubism
/media/andrea/New Volume/train/train/15075.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/48879.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/97978.jpg,2,Realism
/media/andrea/New Volume/train/train/25299.jpg,0,Impressionism
/media/andrea/New Volume/train/train/96231.jpg,0,Impressionism
/media/andrea/New Volume/train/train/33623.jpg,2,Realism
/media/andrea/New Volume/train/train/7187.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/42660.jpg,0,Impressionism
/media/andrea/New Volume/train/train/3603.jpg,0,Impressionism
/media/andrea/New Volume/train/train/28594.jpg,0,Impressionism
/media/andrea/New Volume/train/train/53074.jpg,2,Realism
/media/andrea/New Volume/train/train/90352.jpg,0,Impressionism
/media/andrea/New Volume/train/train/33773.jpg,2,Realism
/media/andrea/New Volume/train/train/52938.jpg,2,Realism
/media/andrea/New Volume/train/train/63091.jpg,0,Impressionism
/media/andrea/New Volume/train/train/18039.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/28604.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/8508.jpg,2,Realism
/media/andrea/New Volume/train/train/62470.jpg,2,Realism
/media/andrea/New Volume/train/train/82842.jpg,0,Impressionism
/media/andrea/New Volume/train/train/21262.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/89286.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/5443.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/16161.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/23523.jpg,0,Impressionism
/media/andrea/New Volume/train/train/89950.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/81650.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/8339.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/48340.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/83045.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/95494.jpg,0,Impressionism
/media/andrea/New Volume/train/train/29989.jpg,3,Pop Art
/media/andrea/New Volume/train/train/50977.jpg,0,Impressionism
/media/andrea/New Volume/train/train/58952.jpg,0,Impressionism
/media/andrea/New Volume/train/train/26979.jpg,0,Impressionism
/media/andrea/New Volume/train/train/20745.jpg,0,Impressionism
/media/andrea/New Volume/train/train/58972.jpg,0,Impressionism
/media/andrea/New Volume/train/train/5701.jpg,0,Impressionism
/media/andrea/New Volume/train/train/84508.jpg,2,Realism
/media/andrea/New Volume/train/train/1053.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/38252.jpg,0,Impressionism
/media/andrea/New Volume/train/train/76222.jpg,0,Impressionism
/media/andrea/New Volume/train/train/1458.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/34888.jpg,0,Impressionism
/media/andrea/New Volume/train/train/71402.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/11308.jpg,0,Impressionism
/media/andrea/New Volume/train/train/35666.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/78776.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/96087.jpg,3,Pop Art
/media/andrea/New Volume/train/train/10332.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/88812.jpg,2,Realism
/media/andrea/New Volume/train/train/52950.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/18076.jpg,2,Realism
/media/andrea/New Volume/train/train/54582.jpg,2,Realism
/media/andrea/New Volume/train/train/70292.jpg,0,Impressionism
/media/andrea/New Volume/train/train/81127.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/86389.jpg,0,Impressionism
/media/andrea/New Volume/train/train/40130.jpg,0,Impressionism
/media/andrea/New Volume/train/train/61312.jpg,2,Realism
/media/andrea/New Volume/train/train/65984.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/4808.jpg,0,Impressionism
/media/andrea/New Volume/train/train/84338.jpg,1,Cubism
/media/andrea/New Volume/train/train/97509.jpg,0,Impressionism
/media/andrea/New Volume/train/train/52497.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/13849.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/9865.jpg,0,Impressionism
/media/andrea/New Volume/train/train/6891.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/20316.jpg,2,Realism
/media/andrea/New Volume/train/train/14390.jpg,2,Realism
/media/andrea/New Volume/train/train/102948.jpg,2,Realism
/media/andrea/New Volume/train/train/15127.jpg,0,Impressionism
/media/andrea/New Volume/train/train/60098.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/75059.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/24766.jpg,0,Impressionism
/media/andrea/New Volume/train/train/95079.jpg,0,Impressionism
/media/andrea/New Volume/train/train/62551.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/41261.jpg,2,Realism
/media/andrea/New Volume/train/train/7402.jpg,2,Realism
/media/andrea/New Volume/train/train/92991.jpg,1,Cubism
/media/andrea/New Volume/train/train/94961.jpg,2,Realism
/media/andrea/New Volume/train/train/5900.jpg,2,Realism
/media/andrea/New Volume/train/train/21360.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/81334.jpg,0,Impressionism
/media/andrea/New Volume/train/train/9513.jpg,2,Realism
/media/andrea/New Volume/train/train/12934.jpg,2,Realism
/media/andrea/New Volume/train/train/4407.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/32599.jpg,2,Realism
/media/andrea/New Volume/train/train/45167.jpg,2,Realism
/media/andrea/New Volume/train/train/36748.jpg,2,Realism
/media/andrea/New Volume/train/train/30144.jpg,2,Realism
/media/andrea/New Volume/train/train/11988.jpg,2,Realism
/media/andrea/New Volume/train/train/43448.jpg,0,Impressionism
/media/andrea/New Volume/train/train/90844.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/48826.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/28623.jpg,2,Realism
/media/andrea/New Volume/train/train/6672.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/28031.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/47941.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/21472.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/51237.jpg,2,Realism
/media/andrea/New Volume/train/train/3266.jpg,0,Impressionism
/media/andrea/New Volume/train/train/34525.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/57472.jpg,2,Realism
/media/andrea/New Volume/train/train/48300.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/22440.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/52743.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/22865.jpg,2,Realism
/media/andrea/New Volume/train/train/26032.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/5388.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/13229.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/10446.jpg,2,Realism
/media/andrea/New Volume/train/train/71777.jpg,0,Impressionism
/media/andrea/New Volume/train/train/23187.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/74279.jpg,0,Impressionism
/media/andrea/New Volume/train/train/66242.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/80726.jpg,0,Impressionism
/media/andrea/New Volume/train/train/66394.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/30593.jpg,0,Impressionism
/media/andrea/New Volume/train/train/1171.jpg,0,Impressionism
/media/andrea/New Volume/train/train/54826.jpg,2,Realism
/media/andrea/New Volume/train/train/78525.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/81393.jpg,2,Realism
/media/andrea/New Volume/train/train/5929.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/2729.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/57522.jpg,0,Impressionism
/media/andrea/New Volume/train/train/47587.jpg,1,Cubism
/media/andrea/New Volume/train/train/65050.jpg,2,Realism
/media/andrea/New Volume/train/train/69343.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/79317.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/64374.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/1805.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/30582.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/4200.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/68102.jpg,0,Impressionism
/media/andrea/New Volume/train/train/73097.jpg,2,Realism
/media/andrea/New Volume/train/train/46797.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/39438.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/36770.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/95505.jpg,0,Impressionism
/media/andrea/New Volume/train/train/27101.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/69883.jpg,2,Realism
/media/andrea/New Volume/train/train/5021.jpg,2,Realism
/media/andrea/New Volume/train/train/64019.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/63984.jpg,2,Realism
/media/andrea/New Volume/train/train/94162.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/95256.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/94224.jpg,2,Realism
/media/andrea/New Volume/train/train/72182.jpg,2,Realism
/media/andrea/New Volume/train/train/26534.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/25486.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/39414.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/93831.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/10199.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/67752.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/64247.jpg,0,Impressionism
/media/andrea/New Volume/train/train/8208.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/24132.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/37227.jpg,0,Impressionism
/media/andrea/New Volume/train/train/12105.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/41126.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/103162.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/1756.jpg,4,Northern Renaissance
/media/andrea/New Volume/train/train/65626.jpg,2,Realism
/media/andrea/New Volume/train/train/82422.jpg,0,Impressionism
/media/andrea/New Volume/train/train/38309.jpg,0,Impressionism
/media/andrea/New Volume/train/train/57321.jpg,0,Impressionism
