filepath,style index
/media/andrea/New Volume/train/train/73331.jpg,2
/media/andrea/New Volume/train/train/99133.jpg,0
/media/andrea/New Volume/train/train/52238.jpg,0
/media/andrea/New Volume/train/train/28824.jpg,0
/media/andrea/New Volume/train/train/43585.jpg,1
/media/andrea/New Volume/train/train/76860.jpg,2
/media/andrea/New Volume/train/train/9911.jpg,4
/media/andrea/New Volume/train/train/80463.jpg,0
/media/andrea/New Volume/train/train/26042.jpg,0
/media/andrea/New Volume/train/train/67243.jpg,1
/media/andrea/New Volume/train/train/20090.jpg,0
/media/andrea/New Volume/train/train/100236.jpg,0
/media/andrea/New Volume/train/train/70276.jpg,4
/media/andrea/New Volume/train/train/16692.jpg,0
/media/andrea/New Volume/train/train/86549.jpg,0
/media/andrea/New Volume/train/train/82494.jpg,4
/media/andrea/New Volume/train/train/92970.jpg,4
/media/andrea/New Volume/train/train/27768.jpg,4
/media/andrea/New Volume/train/train/42746.jpg,4
/media/andrea/New Volume/train/train/55888.jpg,2
/media/andrea/New Volume/train/train/8521.jpg,0
/media/andrea/New Volume/train/train/63776.jpg,0
/media/andrea/New Volume/train/train/98645.jpg,0
/media/andrea/New Volume/train/train/16139.jpg,0
/media/andrea/New Volume/train/train/40595.jpg,4
/media/andrea/New Volume/train/train/62534.jpg,0
/media/andrea/New Volume/train/train/41649.jpg,0
/media/andrea/New Volume/train/train/90295.jpg,4
/media/andrea/New Volume/train/train/60863.jpg,4
/media/andrea/New Volume/train/train/97328.jpg,1
/media/andrea/New Volume/train/train/56994.jpg,4
/media/andrea/New Volume/train/train/97894.jpg,2
/media/andrea/New Volume/train/train/91655.jpg,0
/media/andrea/New Volume/train/train/14705.jpg,0
/media/andrea/New Volume/train/train/22521.jpg,2
/media/andrea/New Volume/train/train/61167.jpg,0
/media/andrea/New Volume/train/train/7566.jpg,4
/media/andrea/New Volume/train/train/40394.jpg,3
/media/andrea/New Volume/train/train/56513.jpg,4
/media/andrea/New Volume/train/train/94777.jpg,4
/media/andrea/New Volume/train/train/14784.jpg,4
/media/andrea/New Volume/train/train/25493.jpg,0
/media/andrea/New Volume/train/train/4429.jpg,4
/media/andrea/New Volume/train/train/11233.jpg,0
/media/andrea/New Volume/train/train/39872.jpg,2
/media/andrea/New Volume/train/train/7467.jpg,4
/media/andrea/New Volume/train/train/32817.jpg,2
/media/andrea/New Volume/train/train/86143.jpg,4
/media/andrea/New Volume/train/train/49805.jpg,4
/media/andrea/New Volume/train/train/62274.jpg,4
/media/andrea/New Volume/train/train/21287.jpg,4
/media/andrea/New Volume/train/train/51232.jpg,4
/media/andrea/New Volume/train/train/4899.jpg,2
/media/andrea/New Volume/train/train/74226.jpg,4
/media/andrea/New Volume/train/train/64398.jpg,4
/media/andrea/New Volume/train/train/24248.jpg,4
/media/andrea/New Volume/train/train/60631.jpg,2
/media/andrea/New Volume/train/train/5425.jpg,4
/media/andrea/New Volume/train/train/43439.jpg,2
/media/andrea/New Volume/train/train/33800.jpg,0
/media/andrea/New Volume/train/train/46083.jpg,0
/media/andrea/New Volume/train/train/71608.jpg,4
/media/andrea/New Volume/train/train/46347.jpg,4
/media/andrea/New Volume/train/train/62073.jpg,2
/media/andrea/New Volume/train/train/72739.jpg,4
/media/andrea/New Volume/train/train/100152.jpg,0
/media/andrea/New Volume/train/train/37160.jpg,0
/media/andrea/New Volume/train/train/88516.jpg,2
/media/andrea/New Volume/train/train/93521.jpg,0
/media/andrea/New Volume/train/train/7275.jpg,2
/media/andrea/New Volume/train/train/97994.jpg,2
/media/andrea/New Volume/train/train/67895.jpg,2
/media/andrea/New Volume/train/train/11295.jpg,0
/media/andrea/New Volume/train/train/63492.jpg,4
/media/andrea/New Volume/train/train/25730.jpg,4
/media/andrea/New Volume/train/train/7614.jpg,0
/media/andrea/New Volume/train/train/65691.jpg,2
/media/andrea/New Volume/train/train/56418.jpg,0
/media/andrea/New Volume/train/train/84017.jpg,0
/media/andrea/New Volume/train/train/91491.jpg,2
/media/andrea/New Volume/train/train/44022.jpg,0
/media/andrea/New Volume/train/train/53847.jpg,4
/media/andrea/New Volume/train/train/37145.jpg,4
/media/andrea/New Volume/train/train/49352.jpg,1
/media/andrea/New Volume/train/train/15075.jpg,4
/media/andrea/New Volume/train/train/48879.jpg,4
/media/andrea/New Volume/train/train/97978.jpg,2
/media/andrea/New Volume/train/train/96231.jpg,0
/media/andrea/New Volume/train/train/42660.jpg,0
/media/andrea/New Volume/train/train/3603.jpg,0
/media/andrea/New Volume/train/train/28594.jpg,0
/media/andrea/New Volume/train/train/53074.jpg,2
/media/andrea/New Volume/train/train/90352.jpg,0
/media/andrea/New Volume/train/train/33773.jpg,2
/media/andrea/New Volume/train/train/8508.jpg,2
/media/andrea/New Volume/train/train/82842.jpg,0
/media/andrea/New Volume/train/train/16161.jpg,4
/media/andrea/New Volume/train/train/23523.jpg,0
/media/andrea/New Volume/train/train/89950.jpg,4
/media/andrea/New Volume/train/train/8339.jpg,4
/media/andrea/New Volume/train/train/48340.jpg,4
/media/andrea/New Volume/train/train/83045.jpg,4
/media/andrea/New Volume/train/train/95494.jpg,0
/media/andrea/New Volume/train/train/29989.jpg,3
/media/andrea/New Volume/train/train/50977.jpg,0
/media/andrea/New Volume/train/train/58952.jpg,0
/media/andrea/New Volume/train/train/26979.jpg,0
/media/andrea/New Volume/train/train/58972.jpg,0
/media/andrea/New Volume/train/train/5701.jpg,0
/media/andrea/New Volume/train/train/1053.jpg,4
/media/andrea/New Volume/train/train/38252.jpg,0
/media/andrea/New Volume/train/train/76222.jpg,0
/media/andrea/New Volume/train/train/1458.jpg,4
/media/andrea/New Volume/train/train/34888.jpg,0
/media/andrea/New Volume/train/train/71402.jpg,4
/media/andrea/New Volume/train/train/11308.jpg,0
/media/andrea/New Volume/train/train/35666.jpg,4
/media/andrea/New Volume/train/train/78776.jpg,4
/media/andrea/New Volume/train/train/96087.jpg,3
/media/andrea/New Volume/train/train/10332.jpg,4
/media/andrea/New Volume/train/train/52950.jpg,4
/media/andrea/New Volume/train/train/18076.jpg,2
/media/andrea/New Volume/train/train/54582.jpg,2
/media/andrea/New Volume/train/train/81127.jpg,4
/media/andrea/New Volume/train/train/86389.jpg,0
/media/andrea/New Volume/train/train/61312.jpg,2
/media/andrea/New Volume/train/train/65984.jpg,4
/media/andrea/New Volume/train/train/97509.jpg,0
/media/andrea/New Volume/train/train/13849.jpg,4
/media/andrea/New Volume/train/train/9865.jpg,0
/media/andrea/New Volume/train/train/6891.jpg,4
/media/andrea/New Volume/train/train/20316.jpg,2
/media/andrea/New Volume/train/train/14390.jpg,2
/media/andrea/New Volume/train/train/15127.jpg,0
/media/andrea/New Volume/train/train/60098.jpg,4
/media/andrea/New Volume/train/train/95079.jpg,0
/media/andrea/New Volume/train/train/41261.jpg,2
/media/andrea/New Volume/train/train/7402.jpg,2
/media/andrea/New Volume/train/train/92991.jpg,1
/media/andrea/New Volume/train/train/94961.jpg,2
/media/andrea/New Volume/train/train/81334.jpg,0
/media/andrea/New Volume/train/train/9513.jpg,2
/media/andrea/New Volume/train/train/12934.jpg,2
/media/andrea/New Volume/train/train/43448.jpg,0
/media/andrea/New Volume/train/train/3266.jpg,0
/media/andrea/New Volume/train/train/71777.jpg,0
/media/andrea/New Volume/train/train/74279.jpg,0
/media/andrea/New Volume/train/train/30593.jpg,0
/media/andrea/New Volume/train/train/1171.jpg,0
/media/andrea/New Volume/train/train/47587.jpg,1
/media/andrea/New Volume/train/train/68102.jpg,0
/media/andrea/New Volume/train/train/64247.jpg,0
/media/andrea/New Volume/train/train/37227.jpg,0
/media/andrea/New Volume/train/train/38309.jpg,0
/media/andrea/New Volume/train/train/23871.jpg,1
/media/andrea/New Volume/train/train/10984.jpg,0
/media/andrea/New Volume/train/train/80074.jpg,0
/media/andrea/New Volume/train/train/32232.jpg,0
/media/andrea/New Volume/train/train/96548.jpg,0
/media/andrea/New Volume/train/train/81350.jpg,1
/media/andrea/New Volume/train/train/24215.jpg,1
/media/andrea/New Volume/train/train/42654.jpg,1
/media/andrea/New Volume/train/train/20394.jpg,1
/media/andrea/New Volume/train/train/43308.jpg,1
/media/andrea/New Volume/train/train/28057.jpg,1
/media/andrea/New Volume/train/train/54012.jpg,1
/media/andrea/New Volume/train/train/102135.jpg,1
/media/andrea/New Volume/train/train/17060.jpg,1
/media/andrea/New Volume/train/train/12786.jpg,1
/media/andrea/New Volume/train/train/58448.jpg,1
/media/andrea/New Volume/train/train/1037.jpg,1
/media/andrea/New Volume/train/train/66211.jpg,1
/media/andrea/New Volume/train/train/82562.jpg,1
/media/andrea/New Volume/train/train/48675.jpg,1
/media/andrea/New Volume/train/train/31833.jpg,1
/media/andrea/New Volume/train/train/12271.jpg,1
/media/andrea/New Volume/train/train/11874.jpg,1
/media/andrea/New Volume/train/train/479.jpg,1
/media/andrea/New Volume/train/train/48982.jpg,1
/media/andrea/New Volume/train/train/57822.jpg,1
/media/andrea/New Volume/train/train/860.jpg,1
/media/andrea/New Volume/train/train/26591.jpg,1
/media/andrea/New Volume/train/train/1903.jpg,1
/media/andrea/New Volume/train/train/35040.jpg,3
/media/andrea/New Volume/train/train/11406.jpg,1
/media/andrea/New Volume/train/train/85696.jpg,1
/media/andrea/New Volume/train/train/65548.jpg,1
/media/andrea/New Volume/train/train/44504.jpg,1
/media/andrea/New Volume/train/train/1032.jpg,1
/media/andrea/New Volume/train/train/37896.jpg,1
/media/andrea/New Volume/train/train/25744.jpg,1
/media/andrea/New Volume/train/train/33005.jpg,1
/media/andrea/New Volume/train/train/28266.jpg,1
/media/andrea/New Volume/train/train/13097.jpg,1
/media/andrea/New Volume/train/train/61103.jpg,3
/media/andrea/New Volume/train/train/62767.jpg,1
/media/andrea/New Volume/train/train/62742.jpg,1
/media/andrea/New Volume/train/train/61195.jpg,1
/media/andrea/New Volume/train/train/50386.jpg,1
/media/andrea/New Volume/train/train/29631.jpg,1
/media/andrea/New Volume/train/train/68706.jpg,1
/media/andrea/New Volume/train/train/24240.jpg,1
/media/andrea/New Volume/train/train/42139.jpg,1
/media/andrea/New Volume/train/train/61222.jpg,1
/media/andrea/New Volume/train/train/2246.jpg,1
/media/andrea/New Volume/train/train/89546.jpg,1
/media/andrea/New Volume/train/train/35739.jpg,1
/media/andrea/New Volume/train/train/29218.jpg,1
/media/andrea/New Volume/train/train/95319.jpg,1
/media/andrea/New Volume/train/train/81543.jpg,1
/media/andrea/New Volume/train/train/56925.jpg,1
/media/andrea/New Volume/train/train/26446.jpg,1
/media/andrea/New Volume/train/train/24878.jpg,1
/media/andrea/New Volume/train/train/93951.jpg,1
/media/andrea/New Volume/train/train/102662.jpg,1
/media/andrea/New Volume/train/train/30458.jpg,1
/media/andrea/New Volume/train/train/62558.jpg,1
/media/andrea/New Volume/train/train/12844.jpg,1
/media/andrea/New Volume/train/train/2069.jpg,1
/media/andrea/New Volume/train/train/41919.jpg,1
/media/andrea/New Volume/train/train/64933.jpg,1
/media/andrea/New Volume/train/train/4036.jpg,1
/media/andrea/New Volume/train/train/49430.jpg,1
/media/andrea/New Volume/train/train/37314.jpg,1
/media/andrea/New Volume/train/train/82400.jpg,1
/media/andrea/New Volume/train/train/68377.jpg,1
/media/andrea/New Volume/train/train/32811.jpg,1
/media/andrea/New Volume/train/train/58884.jpg,1
/media/andrea/New Volume/train/train/39851.jpg,1
/media/andrea/New Volume/train/train/56636.jpg,1
/media/andrea/New Volume/train/train/35863.jpg,1
/media/andrea/New Volume/train/train/51021.jpg,1
/media/andrea/New Volume/train/train/45061.jpg,1
/media/andrea/New Volume/train/train/64729.jpg,1
/media/andrea/New Volume/train/train/97033.jpg,1
/media/andrea/New Volume/train/train/71844.jpg,3
/media/andrea/New Volume/train/train/24096.jpg,3
/media/andrea/New Volume/train/train/89764.jpg,3
/media/andrea/New Volume/train/train/95802.jpg,3
/media/andrea/New Volume/train/train/26433.jpg,3
/media/andrea/New Volume/train/train/73839.jpg,3
/media/andrea/New Volume/train/train/52071.jpg,3
/media/andrea/New Volume/train/train/15239.jpg,3
/media/andrea/New Volume/train/train/44263.jpg,3
/media/andrea/New Volume/train/train/6115.jpg,3
/media/andrea/New Volume/train/train/53959.jpg,3
/media/andrea/New Volume/train/train/37196.jpg,3
/media/andrea/New Volume/train/train/35248.jpg,3
/media/andrea/New Volume/train/train/41237.jpg,3
/media/andrea/New Volume/train/train/73663.jpg,3
/media/andrea/New Volume/train/train/100781.jpg,3
/media/andrea/New Volume/train/train/88612.jpg,3
/media/andrea/New Volume/train/train/99803.jpg,3
/media/andrea/New Volume/train/train/79642.jpg,3
/media/andrea/New Volume/train/train/6782.jpg,3
/media/andrea/New Volume/train/train/87596.jpg,3
/media/andrea/New Volume/train/train/96714.jpg,3
/media/andrea/New Volume/train/train/32963.jpg,3
/media/andrea/New Volume/train/train/63282.jpg,3
/media/andrea/New Volume/train/train/44613.jpg,3
/media/andrea/New Volume/train/train/6923.jpg,3
/media/andrea/New Volume/train/train/30652.jpg,3
/media/andrea/New Volume/train/train/37599.jpg,3
/media/andrea/New Volume/train/train/67760.jpg,3
/media/andrea/New Volume/train/train/41510.jpg,3
/media/andrea/New Volume/train/train/27333.jpg,3
/media/andrea/New Volume/train/train/63060.jpg,3
/media/andrea/New Volume/train/train/75388.jpg,3
/media/andrea/New Volume/train/train/5264.jpg,3
/media/andrea/New Volume/train/train/35834.jpg,3
/media/andrea/New Volume/train/train/65070.jpg,3
/media/andrea/New Volume/train/train/78462.jpg,3
/media/andrea/New Volume/train/train/38033.jpg,3
/media/andrea/New Volume/train/train/46346.jpg,3
/media/andrea/New Volume/train/train/9511.jpg,3
/media/andrea/New Volume/train/train/51037.jpg,3
/media/andrea/New Volume/train/train/101746.jpg,3
/media/andrea/New Volume/train/train/73071.jpg,3
/media/andrea/New Volume/train/train/5969.jpg,3
/media/andrea/New Volume/train/train/13426.jpg,3
/media/andrea/New Volume/train/train/10163.jpg,3
/media/andrea/New Volume/train/train/101898.jpg,3
/media/andrea/New Volume/train/train/48474.jpg,3
/media/andrea/New Volume/train/train/58374.jpg,3
/media/andrea/New Volume/train/train/4809.jpg,3
/media/andrea/New Volume/train/train/12525.jpg,3
/media/andrea/New Volume/train/train/47961.jpg,3
/media/andrea/New Volume/train/train/38730.jpg,3
/media/andrea/New Volume/train/train/69504.jpg,3
/media/andrea/New Volume/train/train/13049.jpg,3
/media/andrea/New Volume/train/train/99761.jpg,3
/media/andrea/New Volume/train/train/88225.jpg,3
/media/andrea/New Volume/train/train/94268.jpg,3
/media/andrea/New Volume/train/train/5454.jpg,3
/media/andrea/New Volume/train/train/80694.jpg,3
/media/andrea/New Volume/train/train/892.jpg,3
/media/andrea/New Volume/train/train/7970.jpg,3
/media/andrea/New Volume/train/train/33405.jpg,3
/media/andrea/New Volume/train/train/46040.jpg,3
/media/andrea/New Volume/train/train/12595.jpg,3
/media/andrea/New Volume/train/train/101731.jpg,3
/media/andrea/New Volume/train/train/20718.jpg,3
/media/andrea/New Volume/train/train/78129.jpg,3
/media/andrea/New Volume/train/train/75694.jpg,3
/media/andrea/New Volume/train/train/7001.jpg,3
/media/andrea/New Volume/train/train/99431.jpg,3
/media/andrea/New Volume/train/train/23594.jpg,3
/media/andrea/New Volume/train/train/3286.jpg,3
/media/andrea/New Volume/train/train/17845.jpg,3
/media/andrea/New Volume/train/train/64784.jpg,3
/media/andrea/New Volume/train/train/48245.jpg,3
/media/andrea/New Volume/train/train/55226.jpg,3
/media/andrea/New Volume/train/train/950.jpg,3
/media/andrea/New Volume/train/train/85932.jpg,3
/media/andrea/New Volume/train/train/89769.jpg,3
/media/andrea/New Volume/train/train/34824.jpg,3
/media/andrea/New Volume/train/train/25076.jpg,3
/media/andrea/New Volume/train/train/94650.jpg,3
/media/andrea/New Volume/train/train/37014.jpg,3
/media/andrea/New Volume/train/train/32316.jpg,3
/media/andrea/New Volume/train/train/17240.jpg,3
